,k-means,eac_al,monti,monti_tuned,eac_al_tuned
0,0.296,0.156,0.296,0.296,0.296
1,0.449,0.26,0.314,0.428,0.392
2,0.697,0.408,0.697,0.758,0.72
3,0.472,0.353,0.521,0.526,0.525
4,0.432,0.377,0.432,0.432,0.389
5,0.399,0.267,0.173,0.392,0.367
6,0.704,0.464,0.704,0.616,0.526
7,0.343,0.285,0.385,0.38,0.38
8,0.569,0.273,0.209,0.686,0.681
9,0.553,0.357,0.51,0.681,0.681
10,0.447,0.3,0.604,0.57,0.573
11,0.472,0.343,0.523,0.52,0.518
12,0.449,0.249,0.56,0.582,0.582
13,0.512,0.264,0.512,0.512,0.512
14,0.257,0.263,0.008,0.424,0.424
15,0.142,0.148,0.136,0.138,0.165
16,0.181,0.149,0.263,0.595,0.598
17,0.478,0.253,0.512,0.48,0.387
18,0.571,0.491,0.24,0.657,0.657
19,0.193,0.194,-0.097,0.224,0.198
